Date,VUS.TO,House Value,BTC-USD,ETH-USD,GME,AMC,AMZN,WMT,NVDA,AMD,AAPL,MSFT,DIS,PYPL
2015-09-01,38.91999816894531,92.0,229.28399658203125,1.2947900295257568,41.34,28.29,500.77,64.86,5.63,1.73,27.97,43.23,99.67,34.0
2015-10-01,38.599998474121094,92.4,237.29299926757812,0.6785740256309509,41.89,25.67,541.61,64.95,6.2645,1.8,28.342,46.55,105.49,32.27
2015-12-01,42.13999938964844,92.8,362.4880065917969,0.8748000264167786,35.5,25.62,679.73,59.24,8.5263,2.42,29.698,55.7,119.25,35.48
2016-02-01,38.380001068115234,93.6,373.0559997558594,2.2116899490356445,26.96,21.48,583.32,69.1,7.588,2.17,24.6907,56.72,95.89,38.63
2016-03-01,39.150001525878906,93.9,435.12298583984375,7.653689861297607,31.88,25.83,595.47,69.07,8.2022,2.28,25.2439,52.93,98.86,41.19
2016-04-01,40.97999954223633,94.6,420.87298583984375,11.598899841308594,31.98,29.29,619.0,69.87,9.3508,2.96,27.9894,56.29,102.84,39.8
2016-06-01,41.7599983215332,96.8,537.9719848632812,13.73799991607666,29.17,29.38,735.24,71.5,11.839,4.58,25.207,52.89,100.67,39.61
2016-09-01,43.36000061035156,98.5,575.5369873046875,12.11299991607666,28.18,30.55,782.94,76.3,15.8783,7.36,27.8818,60.34,94.55,38.33
2016-11-01,41.970001220703125,99.8,729.7930297851562,10.76609992980957,24.16,31.6,796.55,70.3,17.4427,7.32,28.6189,62.7,94.67,42.06
2016-12-01,43.88999938964844,100.0,756.7739868164062,8.452500343322754,25.49,34.2,766.47,73.57,22.87,8.78,28.4315,60.5,101.47,39.92
2017-02-01,45.58000183105469,100.6,989.0230102539062,10.732099533081055,24.4,33.0,859.33,68.43,28.9926,12.2,32.2093,64.68,115.7,40.13
2017-03-01,47.939998626708984,100.8,1222.5,17.349700927734375,24.67,31.3,877.8,71.45,25.8285,15.03,35.1918,65.14,116.53,43.96
2017-05-01,47.75,103.0,1452.8199462890625,77.26380157470703,23.58,30.1,954.13,78.17,27.25,14.25,37.329,71.64,117.19,47.81
2017-06-01,48.380001068115234,103.1,2488.550048828125,223.77499389648438,23.76,23.67,1001.32,82.27,37.06,11.32,40.195,72.3,111.26,55.7
2017-08-01,49.130001068115234,103.5,2710.669921875,219.95199584960938,22.38,21.3,1004.27,82.8,42.9317,14.01,39.0472,72.9,115.56,59.54
2017-09-01,49.20000076293945,103.6,4578.77001953125,348.9840087890625,18.85,14.21,980.78,81.47,42.624,13.53,42.1938,76.69,102.2,62.19
2017-11-01,51.22999954223633,103.9,6767.31005859375,291.6940002441406,19.3,13.55,1126.48,91.8,52.5,10.9,43.3567,87.15,102.66,75.73
2017-12-01,52.5099983215332,103.9,10975.599609375,466.5400085449219,19.25,14.0,1173.97,101.55,51.73,10.79,43.9841,88.36,105.81,78.2
2018-02-01,55.5,103.4,9170.5400390625,1036.7900390625,17.4,14.1,1440.0,108.4,61.914,13.67,42.151,95.78,112.57,79.4
2018-03-01,52.93000030517578,103.4,10951.0,872.2000122070312,15.98,15.43,1500.34,90.96,59.6027,12.1,44.96,94.86,106.38,81.06
2018-05-01,52.5,103.2,9235.919921875,687.1489868164062,14.17,16.9,1597.98,88.27,57.206,11.48,42.583,96.0,103.69,77.87
2018-06-01,54.290000915527344,103.3,7643.4501953125,591.8079833984375,14.07,15.1,1642.45,83.51,65.378,14.4,49.71,103.47,102.16,84.46
2018-08-01,55.59000015258789,103.7,7567.14990234375,412.6210021972656,15.1,16.28,1819.01,89.11,64.6589,19.01,52.142,110.34,118.42,86.08
