Date,BTC-USD,ETH-USD,VUS.TO,GME,AMC,AMZN,WMT,NVDA,AMD,AAPL,MSFT,DIS,PYPL
2015-08-06,279.5849914550781,2.7721199989318848,42.209999084472656,46.95,30.5,537.25,74.39,5.2873,2.2,29.1559,47.88,108.99,40.63
2015-08-07,260.99700927734375,0.7533249855041504,41.970001220703125,45.72,30.23,528.28,72.93,5.842,2.13,30.08,48.5,113.88,39.55
2015-08-10,270.385986328125,1.0678600072860718,42.599998474121094,47.71,30.5,549.0,72.72,6.229,1.97,31.34,48.38,114.0,39.16
2015-08-11,266.3760070800781,1.2174400091171265,42.220001220703125,46.24,28.97,533.75,73.17,6.078,1.9,29.6254,47.92,109.0,39.03
2015-08-12,264.0799865722656,1.8276699781417847,42.27000045776367,46.07,29.09,546.51,74.13,6.15,2.0,29.96,46.95,111.64,39.33
2015-08-13,265.67999267578125,1.8278700113296509,42.36000061035156,46.3,29.79,550.33,74.19,6.16,1.85,29.5911,47.46,110.68,38.4
2015-08-14,261.5509948730469,1.6888999938964844,42.369998931884766,49.19,30.7,556.65,72.98,5.899,1.87,29.82,48.0,108.25,38.3
2015-08-17,211.07899475097656,1.087049961090088,42.619998931884766,47.9,31.29,557.61,72.94,5.8625,1.8,30.52,49.23,113.24,40.62
2015-08-18,226.6840057373047,1.2588599920272827,42.52000045776367,47.33,31.37,542.49,72.63,5.89,1.8,29.835,49.45,108.72,38.57
2015-08-19,235.35000610351562,1.4649200439453125,42.34000015258789,48.03,32.0,546.06,70.35,5.8894,1.9,29.6651,47.69,108.93,38.45
2015-08-20,232.56900024414062,1.3952900171279907,41.22999954223633,46.03,30.1,527.54,71.29,5.67,1.7,28.3217,46.76,103.19,36.21
2015-08-21,230.38999938964844,1.37923002243042,40.04999923706055,46.89,30.73,498.82,66.82,5.4304,1.81,27.38,45.04,100.24,35.77
2015-08-24,221.60899353027344,1.1401900053024292,38.75,44.96,29.0,479.86,64.93,5.3203,1.81,26.16,43.07,99.86,33.9
2015-08-25,225.83099365234375,1.159980058670044,38.040000915527344,44.38,29.24,475.73,65.6,5.07,1.72,27.073,40.64,97.69,33.5
2015-08-26,224.7689971923828,1.1476999521255493,39.18000030517578,45.44,28.97,523.25,67.63,5.6273,1.74,27.9904,43.92,99.8,33.4
2015-08-27,231.39599609375,1.1913800239562988,39.86000061035156,47.3,29.01,530.27,67.47,5.664,1.83,29.34,45.0,103.86,35.07
2015-08-28,229.77999877929688,1.1825499534606934,40.2400016784668,42.64,29.13,518.46,67.6,5.8206,1.94,28.8335,46.06,105.22,36.34
2015-08-31,228.12100219726562,1.3516099452972412,40.0099983215332,42.89,29.62,532.95,67.68,5.69,1.89,29.5,44.78,103.32,35.0
2015-09-01,229.28399658203125,1.2947900295257568,38.91999816894531,41.76,28.14,498.85,66.95,5.58,1.73,27.32,43.61,102.77,34.69
2015-09-02,227.18299865722656,1.264930009841919,39.25,42.73,29.3,515.55,66.68,5.5797,1.85,29.281,44.4,105.33,35.92
2015-09-03,230.29800415039062,1.2744100093841553,39.689998626708984,41.88,27.43,505.94,66.88,5.6262,1.84,28.3596,43.8,104.82,36.68
