Date,GME,AMC,AMZN,WMT,NVDA,AMD,AAPL,MSFT,DIS,PYPL
2015-06-29,44.29,30.84,436.1,73.64,5.06,2.37,31.2521,45.55,117.44,
2015-06-30,44.5,31.64,442.37,71.84,5.2621,2.4,32.6461,44.86,115.28,
2015-07-01,46.16,31.3,452.57,73.78,5.4,2.51,32.51,45.567,116.16,
2015-07-02,45.49,31.3,445.62,73.71,5.258,2.62,32.13,44.7,116.84,
2015-07-06,45.63,30.9,456.01,72.63,5.0691,2.55,32.4,46.58,115.9,
2015-07-07,46.79,31.76,452.18,74.56,4.9786,2.13,32.3801,45.0,118.6,
2015-07-08,46.89,31.09,433.1,75.42,5.137,2.03,31.9618,45.03,116.6,
2015-07-09,49.0,31.63,447.98,75.03,4.8629,2.0,30.2024,45.28,118.7,
2015-07-10,48.47,32.45,463.66,74.89,5.1813,2.01,30.86,46.49,119.31,
2015-07-13,49.59,32.71,456.37,74.64,5.15,1.98,32.038,45.63,119.85,
2015-07-14,47.45,33.74,475.25,76.06,5.1181,2.1,31.9243,46.19,123.43,
2015-07-15,48.44,33.8,469.34,76.12,5.0028,2.01,32.186,46.52,120.1,
2015-07-16,49.18,32.84,479.87,75.6,5.2553,1.91,32.797,48.97,121.97,
2015-07-17,48.55,34.4,497.73,76.43,5.0416,1.81,32.959,47.19,120.75,
2015-07-20,48.99,34.3,505.5,75.7,5.06,1.9,33.5968,48.76,120.54,41.19
2015-07-21,49.09,32.77,499.0,72.91,5.1417,1.9,34.1167,47.59,124.53,40.26
2015-07-22,48.9,32.88,488.82,74.57,4.8575,1.86,32.68,47.29,121.08,40.15
2015-07-23,47.28,32.88,501.68,73.16,5.147,1.85,32.3,46.99,120.1,38.57
2015-07-24,46.22,31.83,530.5,72.26,4.989,1.73,31.744,47.45,124.5,38.0
2015-07-27,46.99,31.67,552.68,72.23,4.9674,1.62,31.8392,47.36,121.34,36.57
2015-07-28,46.02,30.65,546.01,75.5,5.1616,1.79,32.013,46.85,122.12,39.4
2015-07-29,46.36,30.78,545.0,73.79,5.0979,2.02,31.3938,46.41,124.28,39.33
2015-07-30,48.0,32.28,552.64,74.6,5.156,1.95,30.8445,49.21,122.76,39.42
2015-07-31,46.2,32.89,536.58,74.27,5.0716,1.93,30.844,48.8,122.0,40.2
