Date,GME,AMC,AMZN,WMT,NVDA,AMD,AAPL,MSFT,DIS,PYPL
2015-06-25,43.92,31.14,459.9,73.99,5.322,2.66,33.112,46.91,118.8,
2015-06-26,45.59,32.89,439.1,74.6,5.324,2.58,32.5939,45.9,116.04,
2015-06-29,44.51,31.19,432.86,71.7,5.27,2.44,32.642,46.3,117.69,
2015-06-30,45.09,31.9,449.61,74.28,5.271,2.5,31.975,45.75,114.55,
2015-07-01,45.84,31.3,448.21,73.01,5.1,2.47,32.97,45.938,117.59,
2015-07-02,44.75,31.46,456.73,73.17,5.205,2.54,32.05,45.5,117.51,
2015-07-06,45.57,32.13,438.23,72.69,5.1087,2.51,32.1,45.2,118.2,
2015-07-07,48.07,31.91,441.43,74.27,5.0386,2.16,32.4507,46.4,119.6,
2015-07-08,46.1,30.79,431.0,76.16,5.0146,2.03,31.2833,46.42,116.68,
2015-07-09,47.5,32.1,452.08,74.16,4.9067,2.02,31.5066,45.83,119.0,
2015-07-10,47.96,31.97,458.19,73.77,5.107,1.98,31.89,45.94,117.39,
2015-07-13,47.67,33.01,471.62,74.17,5.04,2.01,32.967,47.37,119.07,
2015-07-14,47.33,33.22,471.4,74.54,5.0024,2.08,31.4571,45.7,120.02,
2015-07-15,47.55,33.6,475.82,77.16,5.0989,2.04,33.031,47.27,121.7,
2015-07-16,49.43,32.8,484.59,77.06,5.1823,1.9,32.441,47.08,120.72,
2015-07-17,46.76,33.5,506.04,75.89,5.223,1.85,32.692,48.83,123.5,
2015-07-20,48.72,34.5,498.8,74.3,4.937,1.9,34.2051,48.37,120.06,41.33
2015-07-21,47.98,31.93,509.0,74.42,4.96,1.9,33.9129,48.28,124.39,39.42
2015-07-22,48.3,33.28,492.24,76.7,4.9999,1.83,31.951,46.72,122.3,39.12
2015-07-23,48.6,32.94,485.85,75.18,5.075,1.82,32.08,47.89,124.4,38.66
2015-07-24,46.47,31.55,547.02,73.18,4.987,1.69,31.501,47.64,123.08,37.0
2015-07-27,45.96,31.49,539.83,73.03,4.9177,1.69,31.8088,46.95,122.03,37.41
2015-07-28,47.35,30.19,535.93,73.7,5.117,1.82,32.045,45.92,121.65,37.6
2015-07-29,48.12,31.11,552.0,74.36,5.191,2.06,31.6671,47.46,121.54,39.51
2015-07-30,48.24,33.05,556.31,74.69,5.091,1.94,31.0123,46.93,122.51,39.98
2015-07-31,47.72,33.47,536.36,74.49,5.1844,1.99,31.719,47.5,126.0,38.7
2015-08-03,46.12,32.81,560.55,73.77,5.2924,2.3,30.64,48.37,125.75,40.21
2015-08-04,46.95,32.91,547.5,74.0,5.1254,2.18,29.99,49.73,125.54,39.59
2015-08-05,46.58,31.64,543.89,76.81,5.335,2.22,28.85,48.88,111.33,40.6
2015-08-06,46.65,30.09,534.96,75.94,5.3516,2.22,29.5414,47.59,108.99,39.62
2015-08-07,47.38,30.86,534.71,72.12,5.831,2.16,29.02,47.12,110.35,39.16
2015-08-10,45.94,30.7,549.0,73.62,6.084,1.99,30.65,49.27,116.0,39.2
2015-08-11,47.15,28.65,533.53,72.96,6.118,1.9,29.2238,47.7,113.0,40.28
2015-08-12,47.33,28.66,528.72,72.77,6.2,2.0,29.26,48.56,111.66,39.72
2015-08-13,46.2,29.6,535.25,74.13,6.15,1.88,28.9924,47.3,107.78,38.83
2015-08-14,49.06,30.01,532.65,73.36,6.127,1.87,29.61,49.0,108.07,39.16
2015-08-17,47.93,31.38,544.07,74.18,6.1396,1.8,29.33,48.78,113.53,38.85
2015-08-18,47.5,30.61,556.78,71.61,5.93,1.9,30.269,48.08,111.02,39.8
2015-08-19,47.63,32.0,544.36,71.33,5.9806,1.9,30.0007,48.23,108.38,38.88
2015-08-20,46.42,30.4,539.05,69.14,5.6,1.8,28.8961,47.1,104.85,37.3
2015-08-21,45.62,30.43,509.05,68.25,5.6098,1.81,26.55,43.8,100.25,34.27
2015-08-24,43.96,29.0,485.74,67.14,5.3412,1.77,25.87,42.16,95.8,35.12
2015-08-25,45.46,29.2,468.71,63.9,5.24,1.69,26.737,40.87,98.45,33.2
2015-08-26,47.28,29.34,524.52,66.9,5.5307,1.74,27.9612,43.9,101.17,33.85
2015-08-27,48.1,29.67,540.62,66.9,5.7539,1.82,29.55,44.4,106.65,35.82
2015-08-28,43.4,30.15,535.93,68.19,5.9574,1.86,28.5497,44.45,106.35,36.11
2015-08-31,44.17,30.3,523.91,66.82,5.79,1.84,29.24,44.72,105.23,35.0
2015-09-01,41.94,28.83,510.56,67.0,5.39,1.77,27.59,42.74,102.67,34.55
2015-09-02,43.1,28.4,511.8,67.49,5.8171,1.79,28.427,44.9,102.94,36.68
2015-09-03,42.44,27.96,515.77,66.57,5.803,1.84,28.9094,44.1,106.13,36.5
2015-09-04,43.29,27.95,523.0,67.02,5.5624,1.85,28.3139,42.75,104.93,35.29
2015-09-08,42.55,28.05,519.83,67.77,5.94,1.91,28.3636,45.89,106.81,35.9
2015-09-09,42.0,27.71,535.21,67.77,5.7068,1.85,27.7495,43.64,105.19,34.5
2015-09-10,43.79,27.21,524.65,64.14,5.65,1.93,28.2633,45.07,103.4,34.88
2015-09-11,43.04,27.69,543.34,67.07,5.6796,2.07,29.0184,43.53,109.45,34.15
2015-09-14,44.31,27.82,533.5,64.78,5.8224,1.86,29.603,44.31,108.59,33.8
2015-09-15,44.0,27.63,535.48,66.26,5.758,1.88,29.44,43.99,105.11,34.1
2015-09-16,45.24,27.83,538.18,66.22,5.87,1.9,29.5504,44.8,106.55,34.91
2015-09-17,45.25,28.98,558.94,65.86,6.0516,1.91,29.58,45.22,104.4,33.64
2015-09-18,43.75,28.7,564.77,64.68,5.8412,1.87,28.4451,45.23,103.88,34.15
2015-09-21,42.71,28.2,574.56,63.81,6.0482,1.84,30.1946,45.85,103.95,35.22
2015-09-22,43.35,26.34,541.4,65.97,5.9826,1.78,29.04,45.7,104.05,34.4
2015-09-23,41.38,25.23,544.23,64.2,5.8,1.7,28.86,45.87,105.1,35.02
2015-09-24,42.1,25.84,537.18,65.77,6.06,1.75,29.13,44.27,104.56,35.46
2015-09-25,42.0,26.56,540.38,65.35,6.1445,1.75,30.018,45.01,104.5,34.85
2015-09-28,41.8,25.46,519.45,65.34,5.852,1.7,28.62,43.3,98.56,33.47
2015-09-29,41.79,24.88,506.83,66.61,6.1349,1.75,27.916,44.83,101.93,30.74
2015-09-30,42.57,25.93,523.05,67.31,6.2574,1.78,28.282,45.1,107.3,31.18
2015-10-01,42.17,25.73,536.42,65.55,6.1148,1.77,27.656,46.26,106.64,32.06
2015-10-02,42.4,25.29,541.62,66.26,6.3,1.87,28.707,46.56,103.0,33.56
2015-10-05,42.83,26.2,555.69,67.77,6.493,1.9,28.445,46.89,105.5,32.91
2015-10-06,44.16,26.83,563.36,67.83,6.6696,1.91,28.7236,46.85,106.76,32.76
2015-10-07,44.92,27.73,557.75,68.07,6.592,1.89,27.853,47.3,106.76,33.82
2015-10-08,46.12,28.54,549.68,68.15,6.7859,1.98,27.874,49.44,109.17,32.96
